x,y,c
-73.9896,40.7354,1
-73.9912,40.73,1
-74.0073,40.7418,1
-74.0268,40.6564,1
-74.0055,40.7401,1
-73.9948,40.7185,1
-74.0078,40.7409,1
-74.0076,40.7264,1
-74.0009,40.7256,1
-73.996,40.726,1
-74.0018,40.7337,1
-74.0152,40.7094,1
-73.9959,40.7386,1
-73.9923,40.7213,1
-74.0106,40.7094,1
-73.9981,40.7329,1
-73.9966,40.6856,1
-74.0017,40.7337,1
-74.006,40.7403,1
-74.0071,40.725,1
-74.0044,40.7308,1
-73.9969,40.7238,1
-74.0037,40.7381,1
-74.0037,40.7225,1
-74.0033,40.7389,1
-74.0037,40.7385,1
-74.0107,40.7207,1
-73.9955,40.7367,1
-74.021,40.7311,1
-74.0099,40.7042,1
-73.9897,40.7203,1
-73.9876,40.7327,1
-74.0028,40.7334,1
-74.011,40.7026,1
-73.999,40.7202,1
-73.9889,40.7269,1
-74.0115,40.7112,1
-73.9954,40.7191,1
-73.9894,40.7183,1
-74.0074,40.7303,1
-73.9955,40.7237,1
-74.0078,40.7053,1
-74.0001,40.7269,1
-73.9992,40.7342,1
-73.9878,40.7214,1
-73.9878,40.7284,1
-74.0095,40.7127,1
-73.9895,40.7329,1
-74.0137,40.7077,1
-74.0055,40.7368,1
-74.0065,40.7367,1
-73.9875,40.7225,1
-74.0109,40.7165,1
-73.9895,40.7358,1
-74.0081,40.7385,1
-73.989,40.7324,1
-73.988,40.7218,1
-73.9972,40.6843,1
-74.007,40.7206,1
-74.0068,40.7357,1
-73.9895,40.7204,1
-74.0116,40.7145,1
-73.99,40.7348,1
-74.0072,40.7341,1
-74.0074,40.7411,1
-74.0056,40.7402,1
-73.9914,40.7318,1
-74.001,40.7375,1
-73.9989,40.7322,1
-74.0101,40.7332,1
-74.0055,40.737,1
-74.0044,40.7075,1
-74.0051,40.7323,1
-74.0061,40.7377,1
-74.0051,40.7411,1
-73.996,40.7385,1
-74.0068,40.7357,1
-74.0095,40.728,1
-74.0071,40.7161,1
-73.9966,40.7382,1
-73.9958,40.7266,1
-74.0069,40.7356,1
-73.9963,40.724,1
-74.0004,40.7226,1
-74.0086,40.7071,1
-73.9877,40.7193,1
-73.9881,40.7282,1
-73.9908,40.734,1
-74.0004,40.7273,1
-74.0017,40.7307,1
-74.0001,40.7347,1
-74.0144,40.7044,1
-73.9977,40.7241,1
-73.9912,40.7331,1
-73.9975,40.7215,1
-74.0105,40.7297,1
-73.9989,40.6809,1
-74.0086,40.7203,1
-73.9909,40.7178,1
-73.9905,40.7369,1
-74.0069,40.7303,1
-73.9977,40.7187,1
-73.9972,40.7222,1
-74.0008,40.7317,1
